"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"States"	"States Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Michigan"	"26"	741
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Minnesota"	"27"	393
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Mississippi"	"28"	200
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Missouri"	"29"	420
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Montana"	"30"	89
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Nebraska"	"31"	160
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Nevada"	"32"	168
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"New Hampshire"	"33"	118
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"New Jersey"	"34"	638
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"New Mexico"	"35"	112
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"New York"	"36"	1351
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"North Carolina"	"37"	701
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"North Dakota"	"38"	41
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Ohio"	"39"	830
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Oklahoma"	"40"	251
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Oregon"	"41"	331
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Pennsylvania"	"42"	1033
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Rhode Island"	"44"	82
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"South Carolina"	"45"	339
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"South Dakota"	"46"	84
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Tennessee"	"47"	473
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Texas"	"48"	1661
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Utah"	"49"	203
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Vermont"	"50"	58
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Virginia"	"51"	498
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Washington"	"53"	533
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"West Virginia"	"54"	133
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Wisconsin"	"55"	481
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"Wyoming"	"56"	36
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Alabama"	"01"	393
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Alaska"	"02"	43
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Arizona"	"04"	471
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Arkansas"	"05"	223
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"California"	"06"	2321
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Colorado"	"08"	343
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Connecticut"	"09"	260
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Delaware"	"10"	68
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"District of Columbia"	"11"	41
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Florida"	"12"	1467
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Georgia"	"13"	643
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Hawaii"	"15"	70
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Idaho"	"16"	123
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Illinois"	"17"	838
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Indiana"	"18"	470
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Iowa"	"19"	270
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Kansas"	"20"	211
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Kentucky"	"21"	352
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Louisiana"	"22"	325
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Maine"	"23"	122
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Maryland"	"24"	416
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Massachusetts"	"25"	473
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Michigan"	"26"	738
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Minnesota"	"27"	442
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Mississippi"	"28"	211
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Missouri"	"29"	465
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Montana"	"30"	85
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Nebraska"	"31"	136
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Nevada"	"32"	166
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"New Hampshire"	"33"	103
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"New Jersey"	"34"	699
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"New Mexico"	"35"	131
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"New York"	"36"	1398
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"North Carolina"	"37"	685
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"North Dakota"	"38"	53
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Ohio"	"39"	855
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Oklahoma"	"40"	275
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Oregon"	"41"	335
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Pennsylvania"	"42"	1057
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Rhode Island"	"44"	72
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"South Carolina"	"45"	324
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"South Dakota"	"46"	65
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Tennessee"	"47"	459
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Texas"	"48"	1621
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Utah"	"49"	165
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Vermont"	"50"	45
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Virginia"	"51"	566
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Washington"	"53"	543
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"West Virginia"	"54"	150
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Wisconsin"	"55"	426
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	"Wyoming"	"56"	43
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Alabama"	"01"	355
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Alaska"	"02"	37
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Arizona"	"04"	455
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Arkansas"	"05"	235
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"California"	"06"	2433
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Colorado"	"08"	321
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Connecticut"	"09"	304
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Delaware"	"10"	67
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"District of Columbia"	"11"	43
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Florida"	"12"	1550
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Georgia"	"13"	633
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Hawaii"	"15"	72
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Idaho"	"16"	119
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Illinois"	"17"	848
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Indiana"	"18"	476
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Iowa"	"19"	233
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Kansas"	"20"	216
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Kentucky"	"21"	370
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Louisiana"	"22"	298
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Maine"	"23"	115
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Maryland"	"24"	416
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Massachusetts"	"25"	550
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Michigan"	"26"	696
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Minnesota"	"27"	395
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Mississippi"	"28"	187
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Missouri"	"29"	429
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Montana"	"30"	89
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Nebraska"	"31"	137
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Nevada"	"32"	187
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"New Hampshire"	"33"	107
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"New Jersey"	"34"	699
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"New Mexico"	"35"	108
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"New York"	"36"	1397
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"North Carolina"	"37"	717
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"North Dakota"	"38"	57
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Ohio"	"39"	982
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Oklahoma"	"40"	285
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Oregon"	"41"	353
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Pennsylvania"	"42"	1083
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Rhode Island"	"44"	62
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"South Carolina"	"45"	337
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"South Dakota"	"46"	65
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Tennessee"	"47"	467
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Texas"	"48"	1710
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Utah"	"49"	179
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Vermont"	"50"	51
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Virginia"	"51"	509
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Washington"	"53"	551
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"West Virginia"	"54"	150
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Wisconsin"	"55"	456
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"Wyoming"	"56"	32
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Alabama"	"01"	318
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Alaska"	"02"	41
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Arizona"	"04"	476
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Arkansas"	"05"	256
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"California"	"06"	2424
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Colorado"	"08"	381
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Connecticut"	"09"	240
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Delaware"	"10"	66
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"District of Columbia"	"11"	36
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Florida"	"12"	1519
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Georgia"	"13"	624
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Hawaii"	"15"	59
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Idaho"	"16"	125
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Illinois"	"17"	889
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Indiana"	"18"	470
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Iowa"	"19"	258
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Kansas"	"20"	182
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Kentucky"	"21"	356
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Louisiana"	"22"	279
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Maine"	"23"	113
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Maryland"	"24"	395
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Massachusetts"	"25"	481
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Michigan"	"26"	740
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Minnesota"	"27"	438
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Mississippi"	"28"	218
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Missouri"	"29"	478
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Montana"	"30"	90
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Nebraska"	"31"	144
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Nevada"	"32"	182
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"New Hampshire"	"33"	117
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"New Jersey"	"34"	691
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"New Mexico"	"35"	121
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"New York"	"36"	1476
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"North Carolina"	"37"	664
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"North Dakota"	"38"	54
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Ohio"	"39"	895
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Oklahoma"	"40"	285
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Oregon"	"41"	339
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Pennsylvania"	"42"	1038
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Rhode Island"	"44"	93
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"South Carolina"	"45"	357
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"South Dakota"	"46"	70
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Tennessee"	"47"	455
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Texas"	"48"	1672
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Utah"	"49"	189
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Vermont"	"50"	55
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Virginia"	"51"	571
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Washington"	"53"	544
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"West Virginia"	"54"	160
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Wisconsin"	"55"	485
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	"Wyoming"	"56"	47
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Alabama"	"01"	344
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Alaska"	"02"	52
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Arizona"	"04"	445
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Arkansas"	"05"	215
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"California"	"06"	2443
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Colorado"	"08"	388
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Connecticut"	"09"	306
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Delaware"	"10"	60
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"District of Columbia"	"11"	23
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Florida"	"12"	1602
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Georgia"	"13"	655
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Hawaii"	"15"	64
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Idaho"	"16"	160
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Illinois"	"17"	904
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Indiana"	"18"	449
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Iowa"	"19"	242
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Kansas"	"20"	185
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Kentucky"	"21"	384
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Louisiana"	"22"	306
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Maine"	"23"	129
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Maryland"	"24"	374
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Massachusetts"	"25"	519
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Michigan"	"26"	732
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Minnesota"	"27"	459
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Mississippi"	"28"	172
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Missouri"	"29"	453
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Montana"	"30"	98
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Nebraska"	"31"	138
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Nevada"	"32"	210
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"New Hampshire"	"33"	111
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"New Jersey"	"34"	655
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"New Mexico"	"35"	134
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"New York"	"36"	1426
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"North Carolina"	"37"	732
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"North Dakota"	"38"	47
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Ohio"	"39"	918
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Oklahoma"	"40"	291
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Oregon"	"41"	318
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Pennsylvania"	"42"	1036
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Rhode Island"	"44"	83
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"South Carolina"	"45"	365
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"South Dakota"	"46"	58
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Tennessee"	"47"	458
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Texas"	"48"	1707
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Utah"	"49"	194
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Vermont"	"50"	40
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Virginia"	"51"	512
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Washington"	"53"	610
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"West Virginia"	"54"	163
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Wisconsin"	"55"	441
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	"Wyoming"	"56"	46
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Alabama"	"01"	350
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Alaska"	"02"	56
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Arizona"	"04"	464
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Arkansas"	"05"	223
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"California"	"06"	2380
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Colorado"	"08"	348
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Connecticut"	"09"	285
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Delaware"	"10"	77
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"District of Columbia"	"11"	32
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Florida"	"12"	1603
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Georgia"	"13"	643
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Hawaii"	"15"	70
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Idaho"	"16"	121
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Illinois"	"17"	884
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Indiana"	"18"	502
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Iowa"	"19"	246
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Kansas"	"20"	216
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Kentucky"	"21"	357
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Louisiana"	"22"	294
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Maine"	"23"	140
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Maryland"	"24"	411
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Massachusetts"	"25"	562
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Michigan"	"26"	754
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Minnesota"	"27"	423
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Mississippi"	"28"	202
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Missouri"	"29"	458
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Montana"	"30"	90
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Nebraska"	"31"	139
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Nevada"	"32"	211
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"New Hampshire"	"33"	119
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"New Jersey"	"34"	669
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"New Mexico"	"35"	129
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"New York"	"36"	1416
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"North Carolina"	"37"	716
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"North Dakota"	"38"	47
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Ohio"	"39"	929
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Oklahoma"	"40"	270
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Oregon"	"41"	323
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Pennsylvania"	"42"	1076
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Rhode Island"	"44"	85
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"South Carolina"	"45"	343
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"South Dakota"	"46"	66
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Tennessee"	"47"	476
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Texas"	"48"	1786
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Utah"	"49"	177
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Vermont"	"50"	45
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Virginia"	"51"	568
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Washington"	"53"	531
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"West Virginia"	"54"	158
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Wisconsin"	"55"	432
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	"Wyoming"	"56"	42
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Alabama"	"01"	335
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Alaska"	"02"	45
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Arizona"	"04"	447
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Arkansas"	"05"	214
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"California"	"06"	2431
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Colorado"	"08"	415
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Connecticut"	"09"	277
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Delaware"	"10"	73
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"District of Columbia"	"11"	29
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Florida"	"12"	1543
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Georgia"	"13"	613
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Hawaii"	"15"	72
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Idaho"	"16"	127
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Illinois"	"17"	869
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"Indiana"	"18"	444
